c_5mM.c_0mM___padj,p_5mM.p_0mM___padj,Combined categories
0.001715613,0.000312442,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.070731441,5.05E-21,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.000724974,8.60E-05,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.02927129,1.43E-08,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
3.41E-05,0.000987951,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.03968127,0.3797984,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.232133,1.55E-09,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
1.12E-14,1.32E-12,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.00062808,1.64E-10,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.130174784,1.85E-05,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.980788624,0.088866075,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.917428841,0.864079071,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.4555175,0.001208319,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
9.38E-05,2.15E-07,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
9.40E-07,0.09806929,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
1.19E-05,0.013743831,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
6.40E-06,0.184912249,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.000698961,0.067204353,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
7.53E-06,7.47E-07,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.833737561,0.908724157,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
8.28E-20,1.52E-08,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.007158704,0.2258848,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
2.32E-06,4.55E-11,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.4504624,3.18E-07,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
2.60E-06,0.1423482,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.156878967,2.20E-20,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
9.59E-07,3.63E-11,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.001492044,9.11E-08,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.00025218,8.30E-07,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.000150507,0.405206954,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.4515433,3.32E-06,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
4.20E-72,7.76E-10,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
5.68E-79,0.1161285,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.000675741,0.1007264,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.975212,2.24E-11,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.2759439,0.02498907,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.008204049,2.19E-18,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.001245616,0.446650495,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.017894782,1.35E-14,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
2.67E-06,0.987110816,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.01365489,5.99E-56,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.006259587,0.9689868,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.617786,0.002603673,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
9.84E-76,8.18E-08,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
1.15E-55,9.37E-10,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.7515982,1.07E-17,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.000233473,8.44E-13,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.391810826,8.08E-09,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.772914204,9.61E-05,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
2.00E-06,1.82E-05,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
1.31E-11,4.15E-06,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.4058563,0.1261459,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.03528246,0.000383147,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.9888017,2.27E-14,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.1065999,9.12E-16,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.1617068,7.89E-20,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
4.30E-84,1.37E-20,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
1.74E-55,1.77E-21,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.06772423,0.01907444,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.955681,1.18E-39,"DNA replication, recombination, modification and repair"
0.715527601,6.72E-24,"DNA replication, recombination, modification and repair"
0.17991645,2.16E-31,Transport
3.26E-91,1.73E-38,Transport
2.57E-08,2.53E-08,Transport
1.81E-112,1.10E-17,Transport
3.47E-08,2.97E-11,Transport
0.237304977,6.63E-05,Transport
4.43E-09,3.59E-06,Transport
5.89E-09,2.29E-18,Transport
0.283346508,2.74E-16,Transport
1.86E-29,1.08E-37,Transport
5.03E-08,6.02E-10,Transport
4.11E-261,5.74E-45,Transport
0.427456542,2.67E-13,Transport
4.83E-122,7.50E-05,Transport
2.37E-122,8.14E-07,Transport
1.64E-116,0.6237661,Transport
3.63E-61,9.29E-12,Transport
8.61E-05,0.020041407,Transport
1.81E-28,0.001531723,Transport
2.37E-20,8.04E-09,Transport
7.38E-43,1.03E-08,Transport
6.49E-05,3.51E-31,Transport
2.18E-15,1.07E-17,Transport
2.34E-42,0.731178,Transport
0.070680704,8.90E-20,Transport
2.85E-05,2.94E-08,Transport
1.30E-35,6.85E-06,Transport
0.041398981,1.38E-31,Transport
0.51279674,1.26E-07,Transport
0.00015324,1.07E-11,Transport
1.35E-21,6.04E-17,Transport
7.05E-07,5.16E-12,Transport
8.91E-71,0.680577273,Transport
2.55E-23,0.000616455,Transport
0,0,Transport
0.028617411,0.5030384,Transport
6.24E-18,1.25E-16,Transport
8.25E-21,1.42E-18,Transport
3.60E-49,1.34E-09,Transport
1.60E-37,0.5117752,Transport
3.37E-12,0.004539403,Transport
0.008395103,1.45E-15,Transport
0.07815874,4.81E-09,Transport
0.2730376,0.000533437,"Translation, protein folding and secretion"
2.60E-14,1.82E-09,"Translation, protein folding and secretion"
4.34E-18,2.39E-13,"Translation, protein folding and secretion"
4.50E-10,1.04E-07,"Translation, protein folding and secretion"
3.74E-08,9.27E-29,"Translation, protein folding and secretion"
0.1084748,3.43E-06,"Translation, protein folding and secretion"
1.12E-20,2.58E-08,"Translation, protein folding and secretion"
0.289519206,1.36E-58,"Translation, protein folding and secretion"
1.77E-17,5.44E-15,"Translation, protein folding and secretion"
0.962146155,1.32E-08,"Translation, protein folding and secretion"
0.00290458,5.92E-16,"Translation, protein folding and secretion"
0.597050728,3.99E-07,"Translation, protein folding and secretion"
2.95E-11,1.35E-07,"Translation, protein folding and secretion"
7.13E-06,1.42E-11,"Translation, protein folding and secretion"
0.391729102,0.003445892,"Translation, protein folding and secretion"
0.00016655,7.59E-27,"Translation, protein folding and secretion"
0.000237565,6.56E-11,"Translation, protein folding and secretion"
3.10E-06,3.04E-13,"Translation, protein folding and secretion"
0.2598754,2.34E-06,"Translation, protein folding and secretion"
0.9652524,7.79E-07,"Translation, protein folding and secretion"
0.000180256,0.1161025,"Translation, protein folding and secretion"
0.027007995,2.85E-05,"Translation, protein folding and secretion"
0.01220702,4.31E-05,"Translation, protein folding and secretion"
7.03E-15,0.007407879,"Translation, protein folding and secretion"
3.85E-08,3.96E-16,"Translation, protein folding and secretion"
0.929655439,0.128323838,"Translation, protein folding and secretion"
0.0461737,0.002750058,"Translation, protein folding and secretion"
3.12E-35,2.37E-06,"Translation, protein folding and secretion"
3.31E-07,0.234142639,"Translation, protein folding and secretion"
0.153986747,0.928249664,"Translation, protein folding and secretion"
0.192671573,3.20E-07,"Translation, protein folding and secretion"
6.10E-05,2.16E-05,"Translation, protein folding and secretion"
0.2624103,5.18E-06,"Translation, protein folding and secretion"
1.62E-35,2.78E-13,"Translation, protein folding and secretion"
1.43E-15,8.53E-12,"Translation, protein folding and secretion"
0.138397279,0.202021898,"Translation, protein folding and secretion"
0.1575375,9.28E-10,"Translation, protein folding and secretion"
4.99E-15,6.26E-05,"Translation, protein folding and secretion"
8.69E-10,0.4094837,"Translation, protein folding and secretion"
3.37E-08,0.373355182,"Translation, protein folding and secretion"
0.000324644,9.05E-11,"Translation, protein folding and secretion"
8.70E-08,1.65E-06,"Translation, protein folding and secretion"
7.64E-06,9.83E-11,"Translation, protein folding and secretion"
0.214420063,0.604331803,"Translation, protein folding and secretion"
0.935171439,0.05769756,"Translation, protein folding and secretion"
1.21E-13,7.25E-08,"Translation, protein folding and secretion"
2.29E-06,0.02191512,"Translation, protein folding and secretion"
6.79E-27,1.08E-22,"Translation, protein folding and secretion"
2.03E-10,0.1931161,"Translation, protein folding and secretion"
2.55E-05,3.52E-07,"Translation, protein folding and secretion"
5.61E-11,0.02417041,"Translation, protein folding and secretion"
0.2039685,2.79E-16,"Translation, protein folding and secretion"
0.784640617,0.09326657,"Translation, protein folding and secretion"
0.08233819,0.000823259,"Translation, protein folding and secretion"
0.2046806,0.841215,"Translation, protein folding and secretion"
0.003546869,3.05E-12,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.448593909,3.14E-20,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
5.72E-05,4.99E-12,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.422794276,2.99E-16,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.421567023,1.21E-12,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.24753302,2.69E-10,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.001857978,1.95E-13,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
9.21E-06,0,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.600380058,2.99E-09,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
4.21E-08,5.58E-22,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
3.30E-31,2.09E-26,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.212886583,3.43E-11,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.217061924,8.97E-18,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.580347552,1.16E-72,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.217008232,1.27E-14,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
2.07E-06,6.97E-35,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.02150606,8.45E-18,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.000624871,1.04E-21,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.6743508,2.27E-23,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.06447303,4.61E-14,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.002383001,1.24E-73,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
1.46E-10,2.84E-29,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.006386672,2.86E-10,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.007771321,2.02E-07,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.000178332,2.21E-09,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
3.94E-05,9.36E-08,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.9326356,3.14E-07,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.029428699,2.71E-63,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.000448257,0.000313687,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.391729102,1.64E-06,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
2.89E-157,0.986314643,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.00035195,4.36E-07,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.001447129,0.001159373,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.000186931,0.6060178,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
1.41E-134,6.37E-05,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.8657059,4.01E-14,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.013311622,0.001005616,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
7.57E-26,4.44E-28,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
1.06E-07,1.20E-06,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.066744221,3.22E-09,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.000241617,7.96E-10,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
2.19E-08,1.12E-51,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
1.05E-132,4.19E-09,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.084691215,1.78E-31,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
3.69E-14,8.49E-67,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
0.003340789,5.68E-31,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
2.20E-06,2.20E-19,Transcriptional Regulators/Two-component/Sigma/Antisigma factors
